geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_997,199600,Sunnybrook,15,15,12,12,18
Statistical_Area_998,199700,Fordlands,18,18,21,18,18
Statistical_Area_999,199800,Kuirau,9,9,6,9,6
Statistical_Area_1000,199900,Utuhina,6,12,9,12,12
Statistical_Area_1001,200000,Pomare,6,9,6,6,12
Statistical_Area_1002,200100,Rotorua Central,15,27,15,15,21
Statistical_Area_1003,200200,Hillcrest (Rotorua Distri,6,9,9,12,12
Statistical_Area_1004,200300,Victoria,15,18,15,15,12
Statistical_Area_1005,200400,Waiohewa,0,3,3,6,6
Statistical_Area_1006,200500,Glenholme North,27,27,21,15,24
Statistical_Area_1007,200600,Springfield South,6,6,12,12,6
Statistical_Area_1008,200700,Springfield North,45,69,63,51,51
Statistical_Area_1009,200800,Glenholme South,21,30,27,27,30
Statistical_Area_1010,200900,Owhata West,9,15,15,15,18
Statistical_Area_1011,201000,Holdens Bay-Rotokawa,9,15,9,9,9
Statistical_Area_1012,201100,Ngapuna,3,6,6,6,6
Statistical_Area_1013,201200,Fenton Park,24,30,33,36,30
Statistical_Area_1014,201300,Tihiotonga-Whakarewarewa,0,3,3,3,9
Statistical_Area_1015,201400,Owhata East,42,42,54,39,48
Statistical_Area_1016,201500,Lynmore,18,6,12,18,15
Statistical_Area_1017,201600,Ngakuru,6,6,6,3,9
Statistical_Area_1018,201700,Kaingaroa-Whakarewarewa,6,9,9,6,24
Statistical_Area_1019,201800,Golden Springs,9,6,3,12,6
Statistical_Area_1020,201900,Manawahe,3,3,6,3,9
Statistical_Area_1021,202000,Matata-Otakiri,9,12,15,12,12
Statistical_Area_1022,202100,Onepu Spring,15,3,9,6,9
Statistical_Area_1023,202200,Edgecumbe,12,12,12,15,12
Statistical_Area_1024,202300,Thornton-Awakeri,9,12,9,15,6
Statistical_Area_1025,202400,Te Teko Lakes,12,9,9,12,18
Statistical_Area_1026,202500,Coastlands,12,6,12,9,12
Statistical_Area_1027,202600,Whakatane West,21,21,21,12,30
Statistical_Area_1028,202700,Whakatane Central,45,54,45,48,48
Statistical_Area_1029,202800,Trident,42,57,54,69,69
Statistical_Area_1030,202900,Allandale,18,30,24,15,21
Statistical_Area_1031,203000,Mokorua Bush,6,6,3,6,9
Statistical_Area_1032,203100,Wainui,6,9,9,9,12
Statistical_Area_1033,203200,Ohope,18,21,27,15,33
Statistical_Area_1034,203300,Inlet Ohiwa Harbour West,0,0,0,0,0
Statistical_Area_1035,203400,Galatea,6,15,9,6,9
Statistical_Area_1036,203500,Waingarara-Waimana,15,9,15,15,18
Statistical_Area_1037,203600,Murupara,12,9,15,18,12
Statistical_Area_1038,203700,Monika Reserve,24,18,24,24,27
Statistical_Area_1039,203800,Kawerau Industrial,0,0,0,0,0
Statistical_Area_1040,203900,Tarawera Park,51,42,36,39,42
Statistical_Area_1041,204000,Inlet Ohiwa Harbour East,0,0,0,0,0
Statistical_Area_1042,204100,Waiotahi,12,12,12,12,9
Statistical_Area_1043,204200,Cape Runaway,15,15,21,18,24
Statistical_Area_1044,204300,Woodlands,9,12,6,6,3
Statistical_Area_1045,204400,Opotiki,36,33,36,30,42
Statistical_Area_1046,204500,Otara-Tirohanga,12,15,15,12,24
Statistical_Area_1047,204600,Oponae,3,6,3,3,0
Statistical_Area_1048,204700,East Cape,18,9,12,15,15
Statistical_Area_1049,204800,Waipaoa,12,12,15,9,12
Statistical_Area_1050,204900,Ruatoria-Raukumara,12,9,12,6,18
Statistical_Area_1051,205000,Tokomaru,9,18,6,6,9
Statistical_Area_1052,205100,Hangaroa,9,9,6,6,9
Statistical_Area_1053,205200,Wharekaka,21,9,15,15,18
Statistical_Area_1054,205300,Te Arai,9,9,9,9,12
Statistical_Area_1055,205400,Hexton,15,15,12,9,15
Statistical_Area_1056,205500,Lytton,21,21,30,39,39
Statistical_Area_1057,205600,Makaraka-Awapuni,9,3,0,6,6
Statistical_Area_1058,205700,Riverdale,18,18,21,24,21
Statistical_Area_1059,205800,Te Hapara North,45,39,36,24,27
Statistical_Area_1060,205900,Mangapapa North,12,12,12,6,12
Statistical_Area_1061,206000,Elgin,21,18,18,18,15
Statistical_Area_1062,206100,Te Hapara South,18,18,18,12,21
Statistical_Area_1063,206200,Mangapapa East,3,6,9,3,3
Statistical_Area_1064,206300,Mangapapa South,15,9,12,12,12
Statistical_Area_1065,206400,Te Hapara East,18,18,15,21,9
Statistical_Area_1066,206500,Centennial Crescent,15,15,9,9,12
Statistical_Area_1067,206600,Whataupoko East,6,6,3,6,6
Statistical_Area_1068,206700,Whataupoko West,9,12,9,12,15
Statistical_Area_1069,206800,Gisborne Central,6,6,3,6,3
Statistical_Area_1070,206900,Kaiti North,33,39,36,42,36
Statistical_Area_1071,207000,Kaiti South,18,21,9,24,30
Statistical_Area_1072,207100,Outer Kaiti,12,15,12,15,24
Statistical_Area_1073,207200,Tamarau,15,12,9,15,24
Statistical_Area_1074,207300,Wainui-Okitu,3,6,6,6,3
Statistical_Area_1075,207400,Maungataniwha-Raupunga,9,9,3,9,9
Statistical_Area_1076,207500,Inland water Lake Waikare,0,0,0,0,0
Statistical_Area_1077,207600,Frasertown-Ruakituri,3,3,6,9,9
Statistical_Area_1078,207700,Whakaki,6,6,9,9,12
Statistical_Area_1079,207800,Wairoa,36,39,63,42,45
Statistical_Area_1080,207900,Mahia,12,12,15,9,6
Statistical_Area_1081,208000,Puketitiri-Tutira,12,9,6,3,9
Statistical_Area_1082,208100,Sherenden-Crownthorpe,3,3,6,6,3
Statistical_Area_1083,208200,Maraekakaho,9,6,9,3,9
Statistical_Area_1084,208300,Puketapu-Eskdale,3,6,12,9,6
Statistical_Area_1085,208400,Omahu-Pakowhai,6,6,9,6,9
Statistical_Area_1086,208500,Bridge Pa,3,3,3,6,6
Statistical_Area_1087,208600,Twyford,9,9,9,9,9
Statistical_Area_1088,208700,Poukawa,3,6,9,3,9
Statistical_Area_1089,208800,Flaxmere West,6,9,9,9,15
Statistical_Area_1090,208900,Omahu Strip,3,0,3,3,0
Statistical_Area_1091,209000,Lochain Park,12,12,12,12,12
Statistical_Area_1092,209100,Flaxmere Park,21,18,21,18,18
Statistical_Area_1093,209200,Flaxmere South,9,18,15,18,18
Statistical_Area_1094,209300,Irongate,3,0,3,3,3
Statistical_Area_1095,209400,Frimley,30,36,36,36,45
Statistical_Area_1096,209500,Camberley,21,21,15,15,15
Statistical_Area_1097,209600,Clive,18,24,24,15,18
Statistical_Area_1098,209700,St Leonards,6,12,15,15,6
Statistical_Area_1099,209800,Mahora,27,24,39,33,42
Statistical_Area_1100,209900,Raureka,15,21,24,18,15
Statistical_Area_1101,210000,Cornwall Park,27,33,36,33,30
Statistical_Area_1102,210100,Tomoana,0,3,3,0,0
Statistical_Area_1103,210200,Longlands-Pukahu,12,6,9,3,15
Statistical_Area_1104,210300,Raceway Park,12,15,18,9,15
Statistical_Area_1105,210400,Karamu,3,6,9,6,12
Statistical_Area_1106,210500,Hastings Central,0,3,3,6,3
Statistical_Area_1107,210600,Tomoana Crossing,12,12,12,9,15
Statistical_Area_1108,210700,Akina Park,6,18,12,18,21
Statistical_Area_1109,210800,Queens Square,12,15,9,18,12
Statistical_Area_1110,210900,Mayfair,33,27,27,27,33
Statistical_Area_1111,211000,Parkhaven,24,18,12,18,21
Statistical_Area_1112,211100,Parkvale,15,21,15,21,24
Statistical_Area_1113,211200,Mangateretere,3,9,6,6,3
Statistical_Area_1114,211300,Haumoana-Te Awanga,3,9,12,12,9
Statistical_Area_1115,211400,Lucknow,9,9,6,3,9
Statistical_Area_1116,211500,Karanema-St Hill,81,87,81,90,102
Statistical_Area_1117,211600,Havelock North-Central,12,15,12,15,15
Statistical_Area_1118,211700,Brookvale,24,30,30,42,33
Statistical_Area_1119,211800,Iona,42,33,36,27,30
Statistical_Area_1120,211900,Hereworth,9,15,27,18,21
Statistical_Area_1121,212000,Te Mata Hills,0,6,6,3,3
Statistical_Area_1122,212100,Havelock Hills,6,9,6,12,9
Statistical_Area_1123,212200,Kahuranaki,6,6,6,3,6
Statistical_Area_1124,212300,Bay View,9,12,12,12,9
Statistical_Area_1125,212400,Poraiti Hills,6,0,3,0,6
Statistical_Area_1126,212500,Poraiti Flat,3,3,3,6,9
Statistical_Area_1127,212600,Westshore,12,9,6,6,12
Statistical_Area_1128,212700,Inlet Napier City,0,0,0,0,0
Statistical_Area_1129,212800,Onekawa West,3,0,0,0,3
Statistical_Area_1130,212900,Ahuriri,45,45,63,51,60
Statistical_Area_1131,213000,Taradale West,6,9,9,9,9
Statistical_Area_1132,213100,Greenmeadows West,33,42,48,45,39
Statistical_Area_1133,213200,Taradale South,72,87,78,60,84
Statistical_Area_1134,213300,Bluff Hill,6,12,6,15,12
Statistical_Area_1135,213400,Hospital Hill,9,12,12,15,18
Statistical_Area_1136,213500,Tamatea West,12,21,24,21,21
Statistical_Area_1137,213600,Tamatea North,6,15,9,12,9
Statistical_Area_1138,213700,Taradale Central,33,36,42,36,45
Statistical_Area_1139,213800,Tamatea East,6,15,9,9,12
Statistical_Area_1140,213900,Marewa West,9,9,12,18,9
Statistical_Area_1141,214000,Greenmeadows Central,12,9,6,15,12
Statistical_Area_1142,214100,Onekawa Central,12,18,12,18,18
Statistical_Area_1143,214200,Pirimai West,12,9,15,12,9
Statistical_Area_1144,214300,Napier Central,3,3,3,3,3
Statistical_Area_1145,214400,Greenmeadows South,24,21,12,21,30
Statistical_Area_1146,214500,Nelson Park,24,33,21,24,33
Statistical_Area_1147,214600,Bledisloe Park,21,24,24,18,15
Statistical_Area_1148,214700,Pirimai East,12,12,18,12,9
Statistical_Area_1149,214800,Onekawa East,15,18,18,15,15
Statistical_Area_1150,214900,Tareha Reserve,24,27,30,27,27
Statistical_Area_1151,215000,Marewa East,27,27,27,12,33
Statistical_Area_1152,215100,Onekawa South,18,12,18,21,15
Statistical_Area_1153,215200,McLean Park,12,15,12,12,15
Statistical_Area_1154,215300,Maraenui,24,24,33,15,27
Statistical_Area_1155,215400,Meeanee-Awatoto,9,12,12,9,9
Statistical_Area_1156,215500,Mangaonuku,3,3,3,0,9
Statistical_Area_1157,215600,Makaretu,9,9,12,12,9
Statistical_Area_1158,215700,Waipawa,21,18,21,24,18
Statistical_Area_1159,215800,Waipukurau West,18,21,24,21,24
Statistical_Area_1160,215900,Mangarara,12,12,9,9,6
Statistical_Area_1161,216000,Waipukurau East,27,27,30,36,45
Statistical_Area_1162,216100,Taurekaitai,9,9,12,9,6
Statistical_Area_1163,216200,Port Taranaki,0,0,0,0,0
Statistical_Area_1164,216300,Spotswood,18,24,18,21,27
Statistical_Area_1165,216400,Omata,3,3,3,6,6
Statistical_Area_1166,216500,Oakura,6,6,6,3,6
Statistical_Area_1167,216600,Moturoa,15,18,18,9,15
Statistical_Area_1168,216700,Kaitake,6,3,9,6,0
Statistical_Area_1169,216800,Blagdon-Lynmouth,12,12,15,21,6
Statistical_Area_1170,216900,Kawaroa,15,18,33,21,24
Statistical_Area_1171,217000,New Plymouth Central,6,3,3,3,15
Statistical_Area_1172,217100,Marfell,15,9,12,12,15
Statistical_Area_1173,217200,Whalers Gate,39,36,45,57,63
Statistical_Area_1174,217300,Strandon,51,57,51,33,39
Statistical_Area_1175,217400,Westown,63,54,48,42,69
Statistical_Area_1176,217500,Bell Block West,36,39,54,39,30
Statistical_Area_1177,217600,Bell Block East,12,18,18,15,21
Statistical_Area_1178,217700,Waiwhakaiho-Bell Block So,0,0,0,0,3
Statistical_Area_1179,217800,Lower Vogeltown,39,48,51,42,33
Statistical_Area_1180,217900,Hurdon,12,15,9,9,9
Statistical_Area_1181,218000,Frankleigh Park,24,15,15,12,12
Statistical_Area_1182,218100,Merrilands,36,33,45,42,36
Statistical_Area_1183,218200,Ferndale,3,3,3,0,0
Statistical_Area_1184,218300,Welbourn,30,21,36,21,39
Statistical_Area_1185,218400,Fitzroy-Glen Avon,12,18,21,27,21
Statistical_Area_1186,218500,Waitara West,24,36,42,36,33
Statistical_Area_1187,218600,Upper Vogeltown,12,15,12,18,33
Statistical_Area_1188,218700,Highlands Park (New Plymo,51,60,72,60,72
Statistical_Area_1189,218800,Paraite,3,6,0,3,0
Statistical_Area_1190,218900,Waitara East,21,30,24,24,36
Statistical_Area_1191,219000,Lepperton-Brixton,6,3,9,9,9
Statistical_Area_1192,219100,Mangorei,9,3,6,3,3
Statistical_Area_1193,219200,Mount Messenger,3,6,3,3,3
Statistical_Area_1194,219300,Mangaoraka,6,3,0,6,6
Statistical_Area_1195,219400,Tikorangi,6,12,12,12,12
Statistical_Area_1196,219500,Everett Park,9,6,6,12,0
Statistical_Area_1197,219600,Inglewood,21,15,27,24,30
Statistical_Area_1198,219700,Tarata,3,3,3,3,0
Statistical_Area_1199,219800,Pembroke,3,6,3,9,3
Statistical_Area_1200,219900,Douglas,0,0,0,0,6
Statistical_Area_1201,220000,Toko,3,0,3,0,3
Statistical_Area_1202,220100,Stratford North,30,21,30,33,33
Statistical_Area_1203,220200,Whangamomona,0,0,0,3,0
Statistical_Area_1204,220300,Stratford Central,15,21,12,24,15
Statistical_Area_1205,220400,Stratford South,27,18,27,21,27
Statistical_Area_1206,220500,Cape Egmont,12,3,3,9,9
Statistical_Area_1207,220600,Taungatara,6,3,3,6,6
Statistical_Area_1208,220700,Opunake,15,15,18,24,15
Statistical_Area_1209,220800,Kaponga-Mangatoki,3,3,3,3,6
Statistical_Area_1210,220900,Manaia-Kapuni,6,15,12,9,3
Statistical_Area_1211,221000,Eltham,12,18,9,18,15
Statistical_Area_1212,221100,Okaiawa,6,3,3,3,6
Statistical_Area_1213,221200,Te Roti-Moeroa,9,9,6,12,9
Statistical_Area_1214,221300,Egmont Showgrounds,15,12,9,9,15
Statistical_Area_1215,221400,Normanby-Tawhiti,6,9,6,12,6
Statistical_Area_1216,221500,Ohangai,0,6,3,3,0
Statistical_Area_1217,221600,Turuturu,9,12,9,9,9
Statistical_Area_1218,221700,King Edward Park,21,30,33,45,33
Statistical_Area_1219,221800,Ramanui,21,36,45,30,33
Statistical_Area_1220,221900,Hawera Central,15,24,24,24,30
Statistical_Area_1221,222000,Mangawhio,6,3,3,0,3
Statistical_Area_1222,222100,Manutahi-Waitotora,18,9,12,9,24
Statistical_Area_1223,222200,Patea,18,15,9,15,12
Statistical_Area_1224,222300,Otangiwai-Ohura,12,0,6,3,9
Statistical_Area_1225,222400,Ngapuke,9,9,6,9,15
Statistical_Area_1226,222500,Taumarunui North,18,33,21,24,30
Statistical_Area_1227,222600,Taumarunui Central,15,15,21,18,15
Statistical_Area_1228,222700,Taumarunui East,12,12,21,12,18
Statistical_Area_1229,222800,National Park,6,6,6,3,6
Statistical_Area_1230,222900,Tangiwai,12,9,9,6,9
Statistical_Area_1231,223000,Raetihi,6,6,3,9,6
Statistical_Area_1232,223100,Ohakune,6,6,3,9,3
Statistical_Area_1233,223200,Waiouru,3,3,3,0,3
Statistical_Area_1234,223300,Upper Whanganui,12,3,3,6,6
Statistical_Area_1235,223400,Mowhanau,6,6,6,3,12
Statistical_Area_1236,223500,Brunswick-Papaiti,6,9,6,3,9
Statistical_Area_1237,223600,Castlecliff West,12,15,9,12,12
Statistical_Area_1238,223700,Otamatea (Whanganui Distr,33,42,42,33,27
Statistical_Area_1239,223800,Castlecliff East,18,21,15,18,18
Statistical_Area_1240,223900,Springvale North,3,3,0,6,3
Statistical_Area_1241,224000,Lower Aramoho,12,15,9,15,18
Statistical_Area_1242,224100,St Johns Hill East,39,33,33,54,78
Statistical_Area_1243,224200,St Johns Hill West,39,33,33,24,42
Statistical_Area_1244,224300,Titoki,30,33,51,39,48
Statistical_Area_1245,224400,Springvale West,12,12,18,15,12
Statistical_Area_1246,224500,Springvale East,9,15,24,9,15
Statistical_Area_1247,224600,Upper Aramoho,21,24,21,18,15
Statistical_Area_1248,224700,Balgownie,0,3,0,0,3
Statistical_Area_1249,224800,Laird Park,30,30,27,33,30
Statistical_Area_1250,224900,Wembley Park,9,9,15,6,15
Statistical_Area_1251,225000,College Estate,6,9,9,15,15
Statistical_Area_1252,225100,Whanganui East-Williams D,36,36,36,39,57
Statistical_Area_1253,225200,Gonville West,15,18,18,18,21
Statistical_Area_1254,225300,Gonville North,15,24,21,18,18
Statistical_Area_1255,225400,Cornmarket,15,12,15,15,21
Statistical_Area_1256,225500,Whanganui East-Riverlands,18,15,15,18,18
Statistical_Area_1257,225600,Kaitoke-Fordell,6,9,12,6,6
Statistical_Area_1258,225700,Whanganui Central,0,6,3,3,6
Statistical_Area_1259,225800,Gonville South,15,12,21,18,15
Statistical_Area_1260,225900,Bastia-Durie Hill,9,18,9,12,15
Statistical_Area_1261,226000,Putiki,3,0,6,6,6
Statistical_Area_1262,226100,Mokai Patea,6,9,3,12,12
Statistical_Area_1263,226200,Ngamatea,0,0,3,0,0
Statistical_Area_1264,226300,Turakina,9,12,15,6,9
Statistical_Area_1265,226400,Otairi,6,9,9,9,3
Statistical_Area_1266,226500,Taihape,12,12,15,18,18
Statistical_Area_1267,226600,Marton Rural,6,0,6,6,3
Statistical_Area_1268,226700,Marton North,36,30,30,33,33
Statistical_Area_1269,226800,Parewanui,3,3,3,3,3
Statistical_Area_1270,226900,Marton South,15,18,21,18,18
Statistical_Area_1271,227000,Bulls,18,15,18,12,9
Statistical_Area_1272,227100,Kiwitea,3,6,6,6,9
Statistical_Area_1273,227200,Tokorangi,6,9,6,9,6
Statistical_Area_1274,227300,Ohakea-Sanson,3,6,6,9,6
Statistical_Area_1275,227400,Oroua Downs,3,9,6,6,6
Statistical_Area_1276,227500,Awahuri,6,12,9,9,6
Statistical_Area_1277,227600,Pohangina-Apiti,3,6,9,6,3
Statistical_Area_1278,227700,Mount Taylor,0,3,0,0,0
Statistical_Area_1279,227800,Taikorea,6,6,9,6,6
Statistical_Area_1280,227900,Makino,15,24,15,12,27
Statistical_Area_1281,228000,Sandon,15,9,9,18,9
Statistical_Area_1282,228100,Kimbolton North,24,39,33,45,36
Statistical_Area_1283,228200,Warwick,18,24,21,27,27
Statistical_Area_1284,228300,Kimbolton West,24,30,36,45,66
Statistical_Area_1285,228400,Feilding Central,15,18,18,18,27
Statistical_Area_1286,228500,Kimbolton South,27,24,39,24,18
Statistical_Area_1287,228600,Kauwhata,6,9,3,12,6
Statistical_Area_1288,228700,Taonui,3,9,6,3,6
Statistical_Area_1289,228800,Newbury,12,9,12,6,9
Statistical_Area_1290,228900,Palmerston North Airport,0,3,0,0,0
Statistical_Area_1291,229000,Milson North,54,51,48,48,60
Statistical_Area_1292,229100,Cloverlea (Palmerston Nor,15,9,12,9,3
Statistical_Area_1293,229200,Tremaine,3,0,3,0,3
Statistical_Area_1294,229300,Milson South,15,15,15,12,18
Statistical_Area_1295,229400,Whakarongo,12,6,6,9,9
Statistical_Area_1296,229500,Westbrook,27,15,18,18,21
Statistical_Area_1297,229600,Takaro North,30,30,30,39,30
Statistical_Area_1298,229700,Pioneer West,3,3,0,0,3
Statistical_Area_1299,229800,Palmerston North Hospital,18,27,12,18,18
Statistical_Area_1300,229900,Highbury East,36,33,39,33,21
Statistical_Area_1301,230000,Park West,30,18,27,24,27
Statistical_Area_1302,230100,Takaro South,18,24,27,24,30
Statistical_Area_1303,230200,Roslyn (Palmerston North,9,18,6,12,27
Statistical_Area_1304,230300,Kelvin Grove West,12,24,24,33,36
Statistical_Area_1305,230400,Kelvin Grove North,6,6,6,3,12
Statistical_Area_1306,230500,Papaioea North,42,39,39,36,36
Statistical_Area_1307,230600,Palmerston North Central,3,9,3,3,6
Statistical_Area_1308,230700,Awapuni North,33,36,30,33,30
Statistical_Area_1309,230800,Terrace End,24,33,27,36,24
Statistical_Area_1310,230900,Maraetarata,6,9,6,9,15
Statistical_Area_1311,231000,Papaioea South,15,15,9,15,9
Statistical_Area_1312,231100,Royal Oak (Palmerston Nor,9,3,9,9,12
Statistical_Area_1313,231200,West End,12,15,12,18,18
Statistical_Area_1314,231300,Awapuni South,9,18,18,15,12
Statistical_Area_1315,231400,Milverton,6,6,3,3,3
Statistical_Area_1316,231500,Ruamahanga,27,30,30,27,30
Statistical_Area_1317,231600,Esplanade,15,18,15,21,18
Statistical_Area_1318,231700,Hokowhitu Central,12,15,12,9,6
Statistical_Area_1319,231800,Hokowhitu East,15,18,18,12,12
Statistical_Area_1320,231900,Turitea,0,3,0,0,0
Statistical_Area_1321,232000,Ruahine,9,12,9,9,3
Statistical_Area_1322,232100,Linton Camp,3,3,0,3,3
Statistical_Area_1323,232200,Ashhurst,12,9,9,6,9
Statistical_Area_1324,232300,Hokowhitu South,12,6,6,9,12
Statistical_Area_1325,232400,Aokautere,0,3,0,0,0
Statistical_Area_1326,232500,Pihauatua,0,3,6,3,3
Statistical_Area_1327,232600,Aokautere Rural,3,3,3,3,0
Statistical_Area_1328,232700,Poutoa,33,21,24,27,24
Statistical_Area_1329,232800,Norsewood,9,9,6,12,6
Statistical_Area_1330,232900,Papatawa,6,9,6,6,15
Statistical_Area_1331,233000,Mangatainoka,9,12,6,6,9
Statistical_Area_1332,233100,Woodville,9,12,9,12,21
Statistical_Area_1333,233200,Dannevirke West,15,21,12,24,12
Statistical_Area_1334,233300,Dannevirke East,54,42,63,75,60
Statistical_Area_1335,233400,Waitahora,3,6,0,3,3
Statistical_Area_1336,233500,Kaitawa,0,3,9,3,0
Statistical_Area_1337,233600,Pahiatua,30,33,18,36,42
Statistical_Area_1338,233700,Nireaha-Eketahuna,9,18,3,18,6
Statistical_Area_1339,233800,Owhanga,6,3,3,3,6
Statistical_Area_1340,233900,Mara,0,0,0,0,0
Statistical_Area_1341,234000,Kere Kere,6,0,6,3,3
Statistical_Area_1342,234100,Foxton Beach,18,27,12,24,21
Statistical_Area_1343,234200,Foxton North,21,30,18,12,27
Statistical_Area_1344,234300,Foxton South,21,12,12,18,18
Statistical_Area_1345,234400,Waitarere,18,18,15,12,15
Statistical_Area_1346,234500,Waikawa (Horowhenua Distr,3,6,3,9,9
Statistical_Area_1347,234600,Miranui,6,6,6,3,6
Statistical_Area_1348,234700,Donnelly Park,21,21,27,24,24
Statistical_Area_1349,234800,Ohau-Manakau,15,9,9,15,15
Statistical_Area_1350,234900,Kawiu South,24,27,21,30,33
Statistical_Area_1351,235000,Makomako,18,21,18,21,15
Statistical_Area_1352,235100,Kawiu North,12,15,9,12,15
Statistical_Area_1353,235200,Levin Central,15,24,18,12,15
Statistical_Area_1354,235300,Tararua,18,6,12,15,18
Statistical_Area_1355,235400,Shannon,15,15,15,3,9
Statistical_Area_1356,235500,Queenwood (Horowhenua Dis,36,45,39,36,39
Statistical_Area_1357,235600,Playford Park,21,18,30,18,30
Statistical_Area_1358,235700,Fairfield (Horowhenua Dis,39,30,36,36,45
Statistical_Area_1359,235800,Taitoko,30,27,39,33,45
Statistical_Area_1360,235900,Waiopehu,18,12,15,24,15
Statistical_Area_1361,236000,Makahika,3,6,12,9,3
Statistical_Area_1362,236100,Kimberley,3,3,6,3,6
Statistical_Area_1363,236200,Kapiti Island,0,0,0,0,0
Statistical_Area_1364,236300,Otaki Beach,15,18,12,15,18
Statistical_Area_1365,236400,Forest Lakes (Kapiti Coas,3,3,6,6,6
Statistical_Area_1366,236500,Otaki,42,36,39,33,42
Statistical_Area_1367,236600,Te Horo,6,3,6,9,6
Statistical_Area_1368,236700,Waitohu,9,12,6,6,12
Statistical_Area_1369,236800,Waikanae Beach,15,18,24,18,24
Statistical_Area_1370,236900,Peka Peka,3,3,3,0,3
Statistical_Area_1371,237000,Paraparaumu Beach North,24,30,30,27,36
Statistical_Area_1372,237100,Paraparaumu Beach West,24,18,27,18,21
Statistical_Area_1373,237200,Waikanae Park,51,48,48,51,48
Statistical_Area_1374,237300,Paraparaumu Beach East,54,45,51,39,42
Statistical_Area_1375,237400,Otaihanga,3,3,6,0,3
Statistical_Area_1376,237500,Paraparaumu North,33,51,33,42,48
Statistical_Area_1377,237600,Waikanae West,63,84,93,111,111
Statistical_Area_1378,237700,Otaki Forks,3,0,0,12,3
Statistical_Area_1379,237800,Paraparaumu Central,45,24,36,45,39
Statistical_Area_1380,237900,Maungakotukutuku,3,3,15,18,9
Statistical_Area_1381,238000,Raumati Beach West,21,9,21,15,24
Statistical_Area_1382,238100,Waikanae East,30,33,45,48,27
Statistical_Area_1383,238200,Tararua Forest Park,0,0,0,0,0
Statistical_Area_1384,238300,Raumati Beach East,36,45,30,33,42
Statistical_Area_1385,238400,Paraparaumu East,51,66,39,42,54
Statistical_Area_1386,238500,Raumati South,15,18,18,18,15
Statistical_Area_1387,238600,Paekakariki,3,6,6,9,9
Statistical_Area_1388,238700,Mana Island,0,0,0,0,0
Statistical_Area_1389,238800,Pukerua Bay,9,3,6,3,12
Statistical_Area_1390,238900,Paekakariki Hill,0,0,0,3,0
Statistical_Area_1391,239000,Plimmerton,6,9,9,6,6
Statistical_Area_1392,239100,Titahi Bay North,9,18,12,12,18
Statistical_Area_1393,239200,Titahi Bay South,27,36,39,45,30
Statistical_Area_1394,239300,Elsdon-Takapuwahia,15,21,9,18,9
Statistical_Area_1395,239400,Pauatahanui,3,0,0,6,9
Statistical_Area_1396,239500,Onepoto,12,9,6,6,6
Statistical_Area_1397,239600,Camborne,3,6,9,6,6
Statistical_Area_1398,239700,Inlet Porirua Harbour,0,0,0,0,0
Statistical_Area_1399,239800,Paremata,12,9,6,12,15
Statistical_Area_1400,239900,Porirua Central,3,3,3,6,0
Statistical_Area_1401,240000,Papakowhai,18,27,24,18,18
Statistical_Area_1402,240100,Aotea,12,12,15,15,18
Statistical_Area_1403,240200,Postgate,9,6,12,9,6
Statistical_Area_1404,240300,Ascot Park,15,9,15,12,18
Statistical_Area_1405,240400,Whitby,15,9,15,18,12
Statistical_Area_1406,240500,Porirua East,15,12,12,12,15
Statistical_Area_1407,240600,Endeavour,24,18,27,36,33
Statistical_Area_1408,240700,Cannons Creek North,18,6,18,12,15
Statistical_Area_1409,240800,Waitangirua,30,24,15,24,18
Statistical_Area_1410,240900,Ranui Heights,9,12,3,12,15
Statistical_Area_1411,241000,Cannons Creek East,27,30,30,27,24
Statistical_Area_1412,241100,Cannons Creek South,12,12,6,3,12
Statistical_Area_1413,241200,Akatarawa,0,0,3,3,3
Statistical_Area_1414,241300,Riverstone Terraces,0,0,6,6,3
Statistical_Area_1415,241400,Heretaunga,42,36,30,57,30
Statistical_Area_1416,241500,Birchville-Brown Owl,9,18,15,18,18
Statistical_Area_1417,241600,Poets Block,9,15,12,18,9
Statistical_Area_1418,241700,Brentwood (Upper Hutt Cit,12,6,9,15,12
Statistical_Area_1419,241800,Silverstream (Upper Hutt,24,27,33,24,15
Statistical_Area_1420,241900,Elderslea,48,54,60,54,48
Statistical_Area_1421,242000,Trentham North,60,45,54,39,57
Statistical_Area_1422,242100,Totara Park,6,12,18,12,15
Statistical_Area_1423,242200,Trentham South,18,24,30,21,30
Statistical_Area_1424,242300,Mangaroa,6,3,6,9,9
Statistical_Area_1425,242400,Ebdentown,21,24,18,18,24
Statistical_Area_1426,242500,Wallaceville,15,12,6,12,12
Statistical_Area_1427,242600,Maoribank,6,6,9,12,12
Statistical_Area_1428,242700,Te Marua,6,3,3,6,6
Statistical_Area_1429,242800,Pinehaven,9,12,3,3,6
Statistical_Area_1430,242900,Clouston Park,12,15,18,15,15
Statistical_Area_1431,243000,Upper Hutt Central,3,0,0,3,0
Statistical_Area_1432,243100,Belmont Park,0,0,3,0,0
Statistical_Area_1433,243200,Maungaraki,12,12,9,15,15
Statistical_Area_1434,243300,Korokoro,3,6,3,9,3
Statistical_Area_1435,243400,Kelson,9,6,6,6,9
Statistical_Area_1436,243500,Normandale,6,9,9,6,3
Statistical_Area_1437,243600,Belmont (Lower Hutt City),12,6,3,6,9
