geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_103,110200,Okahukura Peninsula,12,0,6,12,3
Statistical_Area_104,110300,Inlet Kaipara Harbour Sou,0,0,0,0,0
Statistical_Area_105,110400,Cape Rodney,18,15,21,24,12
Statistical_Area_106,110500,Wellsford,9,18,18,21,15
Statistical_Area_107,110600,Oceanic Auckland Region E,0,0,0,0,0
Statistical_Area_108,110700,South Head,9,12,12,15,9
Statistical_Area_109,110800,Kaipara Hills,6,3,0,3,6
Statistical_Area_110,110900,Dome Valley-Matakana,6,6,9,9,6
Statistical_Area_111,111000,Oceanic Auckland Region W,0,0,0,0,0
Statistical_Area_112,111100,Warkworth West,12,30,30,27,45
Statistical_Area_113,111200,Puhoi Valley,18,12,12,9,9
Statistical_Area_114,111300,Warkworth East,27,27,30,24,24
Statistical_Area_115,111400,Sandspit,3,0,9,6,3
Statistical_Area_116,111500,Tawharanui Peninsula,9,6,6,9,9
Statistical_Area_117,111600,Te Kuru,6,6,9,6,9
Statistical_Area_118,111700,Snells Beach,21,24,21,21,30
Statistical_Area_119,111800,Barrier Islands,6,6,3,9,6
Statistical_Area_120,111900,Algies Bay-Scotts Landing,15,27,15,15,21
Statistical_Area_121,112000,Inlets other Auckland,0,0,0,0,0
Statistical_Area_122,112100,Wainui-Waiwera,6,6,12,9,15
Statistical_Area_123,112200,Parakai,27,21,27,27,18
Statistical_Area_124,112300,Helensville Rural,6,6,9,6,9
Statistical_Area_125,112400,Helensville,6,18,21,15,18
Statistical_Area_126,112500,Waitoki,6,12,6,6,9
Statistical_Area_127,112600,Waikoukou Valley,6,0,3,9,6
Statistical_Area_128,112700,Orewa North,60,63,72,78,66
Statistical_Area_129,112800,Hatfields Beach,0,3,6,3,3
Statistical_Area_130,112900,Orewa South,57,63,63,63,75
Statistical_Area_131,113000,Orewa Central,42,48,45,51,51
Statistical_Area_132,113100,Millwater North,3,3,3,3,3
Statistical_Area_133,113200,Waipatukahu,6,6,9,3,6
Statistical_Area_134,113300,Millwater South,0,0,0,0,0
Statistical_Area_135,113400,Dairy Flat North,3,6,3,6,3
Statistical_Area_136,113500,Dairy Flat West,0,3,6,3,6
Statistical_Area_137,113600,Kingsway,3,12,9,3,6
Statistical_Area_138,113700,Riverhead Forest,0,0,0,0,0
Statistical_Area_139,113800,Silverdale Central (Auckl,3,3,3,3,3
Statistical_Area_140,113900,Red Beach West,66,81,78,66,60
Statistical_Area_141,114000,Red Beach East,27,30,36,27,45
Statistical_Area_142,114100,Silverdale South (Aucklan,3,6,9,3,6
Statistical_Area_143,114200,Waimauku,3,3,6,6,9
Statistical_Area_144,114300,Gulf Islands,0,0,0,0,0
Statistical_Area_145,114400,Vipond,21,18,18,15,21
Statistical_Area_146,114500,Muriwai,3,6,0,9,6
Statistical_Area_147,114600,Stanmore Bay West,9,9,9,9,6
Statistical_Area_148,114700,Kumeu Rural West,6,9,9,9,6
Statistical_Area_149,114800,Okura Bush,12,3,3,3,6
Statistical_Area_150,114900,Whangaparoa Central,18,9,15,12,18
Statistical_Area_151,115000,Kumeu-Huapai,3,9,6,12,6
Statistical_Area_152,115100,Stanmore Bay East,12,18,24,21,18
Statistical_Area_153,115200,Manly West,6,12,15,15,15
Statistical_Area_154,115300,Muriwai Valley-Bethells B,3,0,0,3,3
Statistical_Area_155,115400,Tindalls-Matakatia,6,9,6,9,12
Statistical_Area_156,115500,Coatesville,9,9,6,12,6
Statistical_Area_157,115600,Dairy Flat South,3,6,3,3,6
Statistical_Area_158,115700,Gulf Harbour North,9,9,12,12,9
Statistical_Area_159,115800,Manly East,18,21,15,21,27
Statistical_Area_160,115900,Riverhead,3,3,9,6,6
Statistical_Area_161,116000,Army Bay,9,9,9,9,6
Statistical_Area_162,116100,Kumeu Rural East,6,12,9,27,30
Statistical_Area_163,116200,Gulf Harbour South,6,6,3,6,9
Statistical_Area_164,116300,Paremoremo West,3,0,3,0,3
Statistical_Area_165,116400,Taupaki,24,18,15,21,30
Statistical_Area_166,116500,Long Bay,0,9,12,6,12
Statistical_Area_167,116600,Paremoremo East,6,9,9,3,9
Statistical_Area_168,116700,Albany Heights,6,6,3,6,3
Statistical_Area_169,116800,Awaruku,18,12,15,15,12
Statistical_Area_170,116900,Fairview Heights,21,15,24,21,18
Statistical_Area_171,117000,Whenuapai,9,12,9,18,15
Statistical_Area_172,117100,Waitakere Ranges North,3,6,6,3,3
